index,symbol,name,yield,payout,operating,levered
46,zbra,Zebra Technologies Corp,N/A,0.00%,751M,606.63M
47,cboe,"Cboe Global Markets, Inc",1.60%,35.55%,678.1M,601.08M
48,bkr,Baker Hughes Company,4.64%,N/A,2.79B,3.32B
49,pkg,Packaging Corp of America,3.31%,46.06%,1.21B,681M
50,mro,Marathon Oil Corp,N/A,62.50%,2.94B,532.62M
51,lhx,L3Harris Technologies Inc,2.13%,36.33%,2.01B,N/A
52,wec,WEC Energy Group Inc,2.89%,65.29%,2.3B,-596.4M
53,see,Sealed Air Corp,1.97%,28.83%,487M,372.68M
54,wy,Weyerhaeuser Co,N/A,277.55%,1.07B,1.18B
55,bll,Ball Corp,0.84%,43.17%,969M,815.5M
56,trow,T Rowe Price Group Inc,2.93%,39.65%,1.73B,1.78B
57,rf,Regions Financial Corp,6.31%,47.64%,2.79B,N/A
58,prgo,Perrigo Company plc,1.66%,76.64%,465.1M,-42.69M
59,luv,Southwest Airlines Co,N/A,21.24%,2.5B,1.02B
60,msci,MSCI Inc,0.73%,41.99%,734.42M,544.45M
61,info,IHS Markit Ltd,0.90%,17.17%,1.04B,943.19M
62,wm,Waste Management Inc,2.14%,52.72%,3.75B,1.4B
63,ppl,PPL Corp,6.80%,67.45%,2.64B,-573M
64,mas,Masco Corp,1.09%,21.98%,872M,1.02B
65,rop,"Roper Technologies, Inc",0.52%,12.52%,1.54B,1.62B
66,zion,Zions Bancorporation N.A.,4.47%,41.77%,892M,N/A
67,cag,"Conagra Brands, Inc",2.39%,49.42%,1.84B,1.4B
68,nflx,NetFlix Inc,N/A,0.00%,-2.25B,11.26B
69,all,Allstate Corp,2.52%,17.17%,5.44B,2.61B
70,nue,Nucor Corp,4.15%,62.21%,2.36B,365.46M
71,aig,American Intl Group Inc,4.57%,26.02%,34M,620.75M
72,aap,Advance Auto Parts Inc,0.75%,7.83%,673.28M,154.06M
73,rost,Ross Stores Inc,N/A,40.70%,604.12M,-65.25M
74,ksu,Kansas City Southern Inc,1.12%,25.50%,1.11B,443.52M
75,dow,Dow Inc,6.94%,N/A,5.79B,N/A
76,nke,NIKE Inc B,1.01%,59.69%,N/A,N/A
77,azo,AutoZone Inc,N/A,0.00%,2.14B,1.28B
78,wrk,WestRock Co,3.05%,56.10%,2.24B,975.52M
79,abbv,AbbVie Inc.,4.82%,77.70%,14.12B,9.26B
80,qcom,QUALCOMM Inc,2.79%,73.37%,8.34B,4.44B
81,cost,Costco Wholesale Corp,0.86%,31.70%,6.91B,2.96B
82,vmc,Vulcan Materials Co,1.16%,27.37%,950.43M,372.95M
83,dhi,Horton D.R. Inc,1.21%,12.82%,958.7M,907.63M
84,phm,Pulte Group Inc,1.42%,12.07%,1.12B,611.12M
85,lb,L Brands Inc,N/A,N/A,967M,441.88M
86,irm,Iron Mountain Inc,9.45%,234.19%,975M,321.43M
87,mrk,Merck & Co Inc,3.18%,58.73%,12.81B,9B
88,antm,Anthem Inc,1.49%,18.11%,6.95B,4.06B
89,bsx,Boston Scientific Corp,N/A,0.00%,1.41B,3.35B
90,nlok,NortonLifeLock Inc.,2.49%,44.44%,-861M,-563M
91,mgm,MGM Resorts International,0.06%,9.87%,987.68M,3.39M
92,dlr,Digital Realty Trust,3.05%,156.27%,1.39B,2.26B
93,spg,Simon Property Group A,8.52%,129.26%,3.71B,1.9B
94,xom,Exxon Mobil Corp,8.41%,130.34%,27.65B,1.31B
95,exc,Exelon Corp,4.18%,54.85%,6.7B,-727.88M
96,adp,Automatic Data Processing,2.50%,58.32%,2.98B,2.44B
97,gpc,Genuine Parts Co,3.74%,75.24%,904.34M,891.4M
98,fast,Fastenal Co,2.32%,65.11%,878.9M,495.26M
99,ilmn,Illumina Inc,N/A,0.00%,1.13B,708.12M
100,ulta,"Ulta Beauty, Inc",N/A,0.00%,805.3M,363.86M
101,tdg,TransDigm Group,N/A,0.00%,1.16B,1.76B
102,ipg,Interpublic Group Cos,6.22%,56.14%,1.35B,1.04B
103,wdc,Western Digital Corp,N/A,N/A,821M,721.88M
104,emn,Eastman Chemical Co,3.86%,43.54%,1.68B,1.05B
105,acn,Accenture plc A,1.46%,31.41%,7.18B,5.76B
106,pnw,Pinnacle West Capital (AZ),4.10%,62.30%,966.92M,-381.18M
107,itw,Illinois Tool Works Inc,2.47%,54.68%,2.99B,2.24B
108,syk,Stryker Corp,1.29%,38.49%,2.47B,1.5B
109,f,Ford Motor Co,N/A,N/A,13.62B,3.74B
110,ph,Parker-Hannifin Corp,2.00%,34.51%,1.93B,1.3B
111,anss,ANSYS Inc,N/A,0.00%,495.77M,359.47M
112,vrtx,Vertex Pharmaceuticals Inc,N/A,0.00%,2.06B,1.33B
113,hfc,HollyFrontier Corporation,5.34%,107.94%,1.52B,1.44B
114,fcx,Freeport-McMoRan Inc,3.48%,N/A,910M,-1.2B
115,uhs,Universal Health Services B,N/A,8.54%,1.51B,710.01M
116,gd,General Dynamics,N/A,N/A,N/A,N/A
117,pnc,PNC Finl Services Group,4.65%,41.01%,5.27B,N/A
118,twtr,Twitter Inc,N/A,0.00%,1.2B,493.57M
119,kr,Kroger Co,2.20%,23.75%,6.64B,4.05B
120,hal,Halliburton Co,1.53%,N/A,2.71B,1.5B
121,rl,Ralph Lauren Corp A,N/A,55.22%,754.6M,654.71M
122,cprt,Copart Inc,N/A,0.00%,844.12M,1.99M
123,mktx,MarketAxess Holdings,0.44%,35.68%,346.94M,195.28M
124,hpe,Hewlett Packard Enterprise Co,5.21%,N/A,2.65B,877.88M
125,bxp,Boston Properties Inc,4.61%,65.76%,1.15B,854.56M
126,alb,Albemarle Corp,2.03%,31.18%,819.51M,27.42M
127,coo,Cooper Companies Inc,0.02%,0.87%,552.1M,135.19M
128,chtr,Charter Communications Inc A,N/A,0.00%,12.28B,4.46B
129,viac,ViacomCBS  Inc B,4.34%,28.28%,657M,15.04B
130,ups,United Parcel Service Inc B,3.53%,78.74%,8.91B,1.25B
131,ce,Celanese Corp A,2.95%,40.46%,1.41B,754.25M
132,exr,Extra Space Storage Inc,3.78%,108.11%,727.6M,555.96M
133,regn,Regeneron Pharmaceuticals Inc,N/A,0.00%,2.23B,1.28B
134,chrw,CH Robinson Worldwide Inc,2.52%,56.11%,636.99M,465.01M
135,ajg,Arthur J. Gallagher & Co,1.84%,49.15%,1.32B,650.68M
136,flt,FleetCor Technologies Inc,N/A,0.00%,1.28B,763.87M
137,tsn,Tyson Foods Inc A,3.02%,29.61%,2.83B,953.5M
138,pypl,PayPal Holdings Inc.,N/A,0.00%,5.04B,2.66B
139,hpq,HP Inc,4.29%,32.98%,3.71B,2.63B
140,expd,Expeditors Intl of WA Inc,1.35%,30.30%,647.45M,486.02M
141,nem,Newmont Corp,1.59%,11.81%,3.23B,1.71B
142,len,Lennar Corp A,0.79%,4.98%,3.22B,2.29B
143,ebay,eBay Inc.,1.10%,26.73%,3.16B,3.29B
144,payc,Paycom Software Inc,N/A,0.00%,225.87M,142.45M
145,well,Welltower Inc,4.96%,103.88%,1.6B,722.4M
146,frt,Federal Realty Invt Trust,5.33%,92.05%,475.75M,395.28M
147,snps,Synopsys Inc,N/A,0.00%,981.45M,775.72M
148,pfe,Pfizer Inc,4.54%,52.14%,14.02B,19.44B
149,tfc,Truist Financial Corp,5.36%,50.58%,6.89B,N/A
150,pm,Philip Morris International,6.67%,94.70%,9.96B,8.79B
151,atvi,Activision Blizzard Inc,0.51%,0.00%,1.53B,1.96B
152,c,Citigroup Inc,4.13%,27.39%,-754M,N/A
153,lnc,Lincoln National Corp,4.89%,45.62%,-900M,-4.07B
154,pnr,Pentair PLC,1.98%,32.44%,446.9M,294.86M
155,mar,Marriott Intl A,N/A,68.57%,2.05B,368.88M
156,fe,FirstEnergy Corp,3.88%,144.34%,2.09B,-1.19B
157,has,Hasbro Inc,3.80%,81.68%,680.19M,596.68M
158,nclh,Norwegian Cruise Line Holdings Ltd,N/A,0.00%,1.24B,-831.42M
159,usb,US Bancorp,4.91%,42.12%,5.95B,N/A
160,zbh,Zimmer Biomet Holdings Inc,0.82%,53.04%,1.75B,1.15B
161,hst,Host Hotels & Resorts Inc,N/A,79.54%,1.2B,1.03B
162,aos,A.O. Smith Corp,2.02%,45.77%,488.7M,386.01M
163,cop,ConocoPhillips,4.38%,45.31%,10.31B,2.46B
164,nbl,Noble Energy Inc,0.93%,N/A,1.95B,53.25M
165,aph,Amphenol Corp A,1.06%,26.70%,1.54B,1.08B
166,hbi,Hanesbrands Inc,5.57%,42.86%,914.51M,740.69M
167,tmus,T-Mobile US Inc,N/A,0.00%,7.05B,1.17B
168,peak,Healthpeak Properties Inc.,5.51%,296.00%,782.53M,1.08B
169,jnpr,Juniper Networks Inc,3.52%,80.21%,641.7M,535.68M
170,pvh,PVH Corp,N/A,1.34%,950.7M,540.01M
171,aiv,Apartment Investment & Mgmt,4.46%,120.61%,370.27M,109M
172,gis,General Mills Inc,3.13%,55.06%,3.68B,2.73B
173,sjm,J.M. Smucker Co,3.40%,51.02%,1.25B,1.07B
174,jpm,JP Morgan Chase & Co,3.94%,39.55%,-33.85B,N/A
175,avy,Avery Dennison Corp,2.10%,33.57%,715.5M,466.12M
176,ba,Boeing Co,N/A,N/A,-9.54B,-7.77B
177,cme,CME Group Inc A,2.05%,46.55%,2.76B,1.9B
178,idxx,IDEXX Laboratories Inc,N/A,0.00%,452.65M,261.63M
179,alle,Allegion plc,1.27%,33.00%,531.6M,394.59M
180,orly,O'Reilly Automotive,N/A,0.00%,1.73B,753.03M
181,adsk,Autodesk Inc,N/A,0.00%,1.52B,965.79M
182,dd,DuPont de Nemours Inc.,2.30%,N/A,2.1B,13.39B
183,aee,Ameren Corp,2.69%,61.39%,2.07B,-689.25M
184,gild,Gilead Sciences Inc,3.64%,65.90%,9B,3.08B
185,l,Loews Corp,0.76%,N/A,1.99B,1.1B
186,payx,Paychex Inc,3.40%,81.58%,1.3B,1.08B
187,ice,Intercontinental Exchange Inc,1.30%,30.08%,2.52B,1.79B
188,cma,Comerica Inc (MI),8.14%,50.75%,1.75B,N/A
189,reg,Regency Centers Corp,5.65%,298.46%,615.59M,511.31M
190,hes,Hess Corp,2.24%,N/A,1.85B,-1.56B
191,gww,W.W. Grainger Inc,1.86%,41.05%,1.16B,749M
192,unh,Unitedhealth Group Inc,1.72%,30.23%,18.17B,13.68B
193,rmd,ResMed Inc,0.81%,43.75%,613.81M,476.61M
194,uri,United Rentals Inc,N/A,0.00%,3B,1.51B
195,otis,Otis Worldwide Corp,1.43%,0.00%,1.33B,N/A
196,etn,Eaton Corp plc,3.41%,56.19%,3.22B,987.12M
197,jbht,J.B. Hunt Transport Services,0.86%,22.53%,1.1B,183.51M
198,lw,Lamb Weston Holdings Inc,1.49%,25.46%,672.2M,310.32M
199,pep,PepsiCo Inc,3.08%,74.03%,9.24B,4.67B
200,iqv,IQVIA Holdings Inc,N/A,0.00%,1.47B,1.11B
201,tfx,Teleflex Inc,0.38%,11.62%,364.1M,227.55M
202,dov,Dover Corp,2.07%,38.24%,996.64M,829.85M
203,lly,Eli Lilly & Co,1.78%,44.66%,4.91B,2.83B
204,low,Lowe's Cos Inc,1.62%,37.04%,6.61B,4.22B
205,odfl,Old Dominion Freight Line Inc,0.34%,9.64%,981.73M,417.48M
206,ntap,NetApp Inc,4.54%,54.55%,1.06B,913.5M
207,wab,Wabtec,0.85%,19.51%,902.3M,831.97M
208,uaa,Under Armour Inc A,N/A,0.00%,232.11M,118.4M
209,swks,Skyworks Solutions Inc,1.33%,36.80%,1.31B,730.12M
210,bf-b,brown-forman,1.10%,39.57%,724M,410.38M
211,dis,Walt Disney Co,N/A,76.86%,5.42B,7.43B
212,fdx,FedEx Corp,1.67%,53.06%,5.1B,-1.35B
213,cmcsa,Comcast Corp A,2.34%,34.13%,24.29B,13.76B
214,eqix,Equinix Inc,1.46%,169.31%,2.09B,1.93B
215,cfg,Citizens Financial Group Inc,6.86%,48.97%,-102M,N/A
216,jkhy,Jack Henry & Associates Inc.,0.94%,42.34%,474.21M,223.85M
217,mdlz,Mondelez International Inc,2.27%,43.90%,3.78B,2.65B
218,myl,Mylan NV,N/A,0.00%,2.13B,2.42B
219,ge,General Electric Co,0.61%,6.56%,8.44B,18.07B
220,ben,Franklin Resources Inc,5.33%,54.36%,-101.6M,1.21B
221,mtd,Mettler-Toledo Intl,N/A,0.00%,570.17M,405.76M
222,ntrs,Northern Trust Corp (IL),3.66%,40.30%,-387M,N/A
223,bmy,Bristol-Myers Squibb,3.10%,273.02%,10.57B,9.5B
224,shw,Sherwin-Williams Co,0.92%,26.83%,2.41B,1.65B
225,cnp,Centerpoint Energy Inc,3.17%,N/A,2.03B,-1.47B
226,spgi,S&P Global Inc,0.76%,24.87%,3.16B,2.57B
227,wfc,Wells Fargo & Co,8.49%,69.23%,16.05B,N/A
228,ccl,Carnival Corp,N/A,74.07%,5.27B,-459.12M
229,klac,KLA Corporation,1.67%,50.00%,1.65B,1.31B
230,lh,Lab Corp of America Hldgs,N/A,0.00%,1.48B,990.65M
231,pki,PerkinElmer Inc,0.27%,13.86%,428.84M,378.95M
232,ni,Nisource Inc,3.66%,168.75%,1.55B,-1.54B
233,axp,American Express Co,1.90%,25.45%,2.87B,N/A
234,cbre,CBRE Group Inc.,N/A,0.00%,1.48B,1.57B
235,psx,Phillips 66,6.10%,537.31%,5.5B,335.75M
236,hon,Honeywell Intl Inc,2.55%,39.54%,6.7B,5.49B
237,glw,Corning Inc,3.32%,241.18%,2.31B,102.25M
238,abt,Abbott Laboratories,1.54%,66.67%,6.14B,4.59B
239,avb,AvalonBay Communities Inc,4.19%,110.02%,1.3B,1.07B
240,ms,Morgan Stanley,2.95%,28.07%,47.57B,N/A
241,hlt,Hilton Worldwide Holdings  Inc,N/A,23.44%,1.15B,438.38M
242,ed,Consolidated Edison Inc,4.27%,76.74%,3.08B,-1.19B
243,amzn,Amazon.com Inc,N/A,0.00%,39.73B,26.72B
244,slg,SL Green Realty Corp,7.70%,71.11%,356.19M,478.31M
245,tjx,TJX Cos Inc,N/A,67.65%,756.82M,-996.17M
246,hig,Hartford Finl Services Group,3.63%,26.12%,3.51B,5.01B
247,kss,Kohl's Corp,N/A,577.45%,1.57B,741.37M
248,msft,Microsoft Corp,0.95%,32.33%,58.11B,36.2B
249,vrsk,Verisk Analytics Inc,0.62%,34.81%,952.8M,844.25M
250,adi,Analog Devices Inc,2.00%,74.92%,1.99B,1.55B
251,mchp,Microchip Technology Inc,1.37%,65.70%,1.54B,1.52B
252,cog,Cabot Oil & Gas A,2.35%,33.33%,1.07B,59.91M
253,mlm,Martin Marietta Materials,1.06%,22.49%,954.9M,474.92M
254,ibm,Intl Business Machines Corp,5.63%,64.16%,14.49B,17.44B
255,gpn,Global Payments Inc,0.48%,21.24%,1.6B,1.49B
256,k,Kellogg Co,3.46%,75.92%,1.5B,1.12B
257,syf,Synchrony Financial,4.12%,19.55%,8.24B,N/A
258,mcd,McDonald's Corp,2.71%,63.17%,7.65B,4.13B
259,ame,AMETEK Inc,0.83%,14.71%,1.19B,939.57M
260,hrl,Hormel Foods Corp,1.98%,52.06%,1.11B,521.84M
261,wmb,The Williams Companies Inc,8.76%,"1,283.33%",3.7B,548.12M
262,dg,Dollar General Corp,0.76%,17.10%,3.4B,2.14B
263,ftnt,Fortinet Inc,N/A,0.00%,926.1M,640.64M
264,stz,Constellation Brands Inc A,1.64%,"1,034.48%",2.64B,1.49B
265,ato,Atmos Energy Corp,2.35%,48.25%,1.04B,-1.03B
266,ctl,CenturyLink Inc,10.38%,87.72%,6.8B,2.81B
267,nee,NextEra Energy Inc,2.22%,71.43%,8.45B,-6.17B
268,lrcx,Lam Research Corp,1.37%,32.76%,2.19B,1.14B
269,ipgp,IPG Photonics Corp,N/A,0.00%,336.65M,235.16M
270,msi,Motorola Solutions Inc,1.96%,46.45%,1.88B,1.36B
271,cf,CF Industries Holdings,4.46%,56.07%,1.49B,891.88M
272,cinf,Cincinnati Financial Corp,3.57%,712.50%,1.18B,121.12M
273,eix,Edison Intl,4.73%,73.10%,-202M,-2.41B
274,nvr,NVR Inc,N/A,0.00%,707.12M,428.74M
275,keys,Keysight Technologies Inc,N/A,0.00%,1.03B,721.12M
276,intu,Intuit Inc,0.69%,40.63%,2B,1.55B
277,disck,"Discovery, Inc C",N/A,0.00%,3.19B,5.89B
278,ew,Edwards Lifesciences Corp,N/A,0.00%,1.38B,702.29M
279,etfc,E*TRADE Financial Corp,1.11%,16.09%,7.48B,N/A
280,ldos,Leidos Holdings Inc,1.57%,32.60%,1.08B,922.75M
281,udr,UDR Inc,4.00%,244.64%,628.83M,507.72M
282,carr,Carrier Global Corp.,1.34%,0.00%,2.23B,N/A
283,incy,Incyte Corp,N/A,0.00%,-128.42M,-39.82M
284,pld,ProLogis Inc,2.40%,83.14%,2.45B,1.09B
285,orcl,Oracle Corp,1.67%,31.17%,13.14B,10.19B
286,pcar,PACCAR Inc,1.72%,21.02%,2.92B,66.5M
287,hum,Humana Inc,0.65%,11.67%,4.86B,2.11B
288,txt,Textron Inc,0.27%,2.70%,835M,382.75M
289,kmx,Carmax Inc,N/A,0.00%,969.75M,750.66M
290,pbct,People's United Financial Inc,6.92%,55.91%,478.1M,N/A
291,sna,Snap On Inc,3.35%,34.58%,686.7M,524.66M
292,lnt,Alliant Energy Corp,3.15%,57.80%,639.5M,-470.11M
293,t,AT&T Inc,7.04%,105.10%,46.48B,29.1B
294,syy,Sysco Corp,3.53%,63.40%,2.12B,1.3B
295,dte,DTE Energy Co,3.80%,66.58%,2.96B,-1.15B
296,qrvo,"Qorvo, Inc",N/A,0.00%,945.65M,724.3M
297,ctxs,Citrix Systems Inc,0.94%,24.69%,799.75M,759.31M
298,ip,Intl Paper Co,6.19%,121.99%,3.53B,6.15B
299,ste,STERIS plc,0.98%,30.46%,590.56M,286.6M
300,swk,Stanley Black & Decker,2.01%,44.75%,1.53B,958.83M
301,mco,Moody's Corp,0.76%,25.56%,1.65B,1.54B
302,frc,First Republic Bank,0.78%,14.79%,929.82M,N/A
303,unp,Union Pacific Corp,2.34%,44.07%,8.81B,3.5B
304,aapl,Apple Inc.,0.86%,24.08%,75.37B,45.04B
305,ctva,Corteva Inc.,2.02%,163.05%,681M,N/A
306,trv,Travelers Cos Inc,3.09%,35.42%,5.19B,9.56B
307,cnc,Centene Corp,N/A,0.00%,-73M,1.75B
308,iex,IDEX Corp,1.27%,36.70%,524.16M,376.85M
309,vfc,VF Corp,3.30%,121.02%,874.53M,807.1M
310,ua,Under Armour Inc-C,N/A,0.00%,232.11M,118.4M
311,iff,Intl Flavors & Fragrances,2.45%,71.12%,668.68M,622.88M
312,whr,Whirlpool Corp,3.60%,35.42%,1.31B,1.58B
313,khc,The Kraft Heinz Company,5.10%,102.56%,3.46B,4.51B
314,zts,Zoetis Inc,0.58%,20.72%,1.81B,1.16B
315,wrb,WR Berkley Corp,0.86%,17.25%,1.22B,950.49M
316,sbux,Starbucks Corp,2.23%,55.00%,2.75B,1.22B
317,mnst,Monster Beverage Corp New,N/A,0.00%,1.18B,914.88M
318,etr,Entergy Corp,3.86%,66.07%,2.97B,-2.11B
319,ftv,Fortive Corp,0.41%,17.83%,1.31B,971.5M
320,cmi,Cummins Inc,3.05%,37.06%,3.15B,1.78B
321,xyl,Xylem Inc,1.56%,49.25%,754M,508.38M
322,mck,McKesson Corp,1.16%,32.46%,4.37B,3.35B
323,mmm,3M Co,3.88%,67.96%,7.23B,4.3B
324,d,Dominion Energy Inc,5.10%,172.55%,5.67B,72.25M
325,brk-b,berkb,N/A,0.00%,37.91B,1.75B
326,are,Alexandria Real Estate Eqty,2.61%,188.84%,738.39M,739.56M
327,jci,Johnson Controls International plc,3.12%,75.91%,1.05B,3.32B
328,it,Gartner Inc,N/A,0.00%,585.59M,464.74M
329,goog,Alphabet Inc C,N/A,0.00%,53.97B,21.93B
330,es,Eversource Energy,2.68%,76.23%,2.05B,-1.35B
331,apd,Air Products & Chemicals Inc,1.97%,54.65%,2.92B,388.02M
332,aiz,Assurant Inc,2.58%,42.78%,1.04B,1.26B
333,abc,AmerisourceBergen Corp,1.74%,21.29%,2.24B,1.07B
334,rjf,Raymond James Financial Inc,2.26%,21.04%,3.5B,N/A
335,xray,Dentsply Sirona Inc.,0.97%,104.73%,592.8M,640.48M
336,dal,Delta Air Lines,N/A,29.00%,6.84B,-752.5M
337,mpc,Marathon Petroleum Corp.,6.79%,N/A,7.05B,255.62M
338,cb,Chubb Limited,2.51%,37.45%,6.73B,5.08B
339,dish,DISH Network Corp A,N/A,0.00%,2.81B,372.91M
340,lin,Linde plc,1.74%,83.83%,6.4B,4.66B
341,fls,Flowserve Corp,2.93%,51.84%,321.52M,310.04M
342,flir,FLIR Systems Inc,1.70%,73.91%,365.73M,323.63M
343,peg,Public Service Enterprise Grp,3.94%,67.14%,3.31B,-425.88M
344,fmc,FMC Corp,1.80%,40.10%,437.4M,533.52M
345,adbe,Adobe Inc.,N/A,0.00%,4.81B,3.59B
346,avgo,Broadcom Inc,4.04%,211.85%,10.43B,10.56B
347,so,Southern Co,4.93%,74.70%,5.93B,-1.92B
348,fitb,Fifth Third Bancorp (OH),6.21%,44.00%,1.72B,N/A
349,hca,HCA Healthcare Inc,N/A,18.54%,8B,2.71B
350,crm,Salesforce.com,N/A,N/A,N/A,N/A
351,o,Realty Income Corp,4.91%,188.83%,1.12B,795.09M
352,jnj,Johnson & Johnson,2.84%,59.28%,23.23B,22.63B
353,fang,Diamondback Energy Inc,3.73%,N/A,3.21B,-1.36B
354,mkc,McCormick & Co,1.35%,42.81%,988.1M,647.92M
355,fti,TechnipFMC plc,1.75%,N/A,755M,515.99M
356,bwa,Borgwarner Inc,1.98%,19.60%,1.23B,800M
357,br,Broadridge Financial Solutions Inc.,1.69%,59.46%,554.7M,627.8M
358,gm,General Motors Company,N/A,46.63%,16.66B,-742M
359,vno,Vornado Realty Trust,7.56%,17.27%,649.87M,-211.84M
360,eqr,Equity Residential,4.25%,73.17%,1.47B,1.24B
361,afl,AFLAC Inc,3.30%,27.39%,5.33B,2.45B
362,mos,Mosaic Co,1.71%,N/A,1.46B,341.58M
363,adm,Archer-Daniels-Midland Co,3.81%,51.84%,-4.07B,1.2B
364,fb,Facebook Inc A,N/A,0.00%,38.01B,16.83B
365,aptv,Aptiv plc,N/A,9.70%,1.7B,1.01B
366,el,Estee Lauder Cos. A,N/A,51.27%,2.71B,1.6B
367,now,ServiceNow Inc.,N/A,0.00%,1.37B,1.22B
368,ess,Essex Property Trust,3.71%,82.49%,930.25M,813.61M
369,hd,Home Depot Inc,2.42%,55.47%,14.75B,9.92B
370,tgt,Target Corp,2.31%,48.79%,8.08B,4.47B
371,pgr,Progressive Corp,0.51%,6.60%,6.02B,5.39B
372,cxo,Concho Resources Inc,1.58%,N/A,3.05B,3.57B
373,wltw,Willis Towers Watson PLC,1.37%,32.23%,1.15B,1.2B
374,rsg,Republic Services Inc,2.01%,47.04%,2.37B,820.21M
375,hp,Helmerich & Payne Inc,5.40%,N/A,679.37M,451.8M
376,fis,Fidelity National Information,1.03%,608.70%,2.5B,3.14B
377,holx,Hologic Inc,N/A,0.00%,643M,543.24M
378,noc,Northrop Grumman Corp,2.03%,39.67%,4.22B,1.89B
379,var,Varian Medical Systems Inc,N/A,0.00%,378.8M,333.56M
380,maa,Mid-America Apt Communties,3.55%,137.10%,787.34M,711.14M
381,ndaq,Nasdaq Inc,1.62%,43.02%,1.01B,765.25M
382,ci,Cigna Corporation,0.02%,0.31%,8.18B,2.75B
383,tif,Tiffany & Co,1.92%,80.28%,422.2M,57.69M
384,mo,Altria Group Inc,8.70%,N/A,8.68B,7.07B
385,leg,Leggett & Platt,4.77%,67.80%,647M,456.96M
386,xlnx,Xilinx Inc,1.52%,47.59%,1.19B,880.67M
387,cms,CMS Energy Corp,2.76%,62.45%,1.37B,-455M
388,amp,Ameriprise Financial Inc,2.90%,14.38%,7.06B,5.48B
389,oke,ONEOK Inc,14.30%,187.76%,2.02B,-2.41B
390,mxim,MAXIM INTEGRATED,2.98%,63.97%,825.99M,549.4M
391,met,Metlife Inc,5.20%,18.70%,13.56B,1.97B
392,amd,Advanced Micro Devices,N/A,0.00%,641M,549.25M
393,cmg,Chipotle Mexican Grill Inc.,N/A,0.00%,721.12M,380.47M
394,rhi,Robert Half Intl Inc,2.76%,33.78%,517.48M,358.63M
395,ctas,Cintas Corp,0.96%,28.91%,1.33B,910.44M
